symbol,name,market,as_of,source
016590,신대양제지,유가,2026-06-12,KRX KIND
016600,큐캐피탈,코스닥,2026-06-12,KRX KIND
016610,DB증권,유가,2026-06-12,KRX KIND
016670,디모아,코스닥,2026-06-12,KRX KIND
016710,대성홀딩스,유가,2026-06-12,KRX KIND
016740,두올,유가,2026-06-12,KRX KIND
016790,현대사료,코스닥,2026-06-12,KRX KIND
016800,퍼시스,유가,2026-06-12,KRX KIND
016880,웅진,유가,2026-06-12,KRX KIND
016920,카스,코스닥,2026-06-12,KRX KIND
017000,신원종합개발,코스닥,2026-06-12,KRX KIND
017040,광명전기,유가,2026-06-12,KRX KIND
017180,명문제약,유가,2026-06-12,KRX KIND
017250,인터엠,코스닥,2026-06-12,KRX KIND
017370,우신시스템,유가,2026-06-12,KRX KIND
017390,서울도시가스,유가,2026-06-12,KRX KIND
017480,삼현철강,코스닥,2026-06-12,KRX KIND
017510,세명전기,코스닥,2026-06-12,KRX KIND
017550,수산세보틱스,유가,2026-06-12,KRX KIND
017650,대림제지,코스닥,2026-06-12,KRX KIND
017670,SK텔레콤,유가,2026-06-12,KRX KIND
017800,현대엘리베이터,유가,2026-06-12,KRX KIND
017810,풀무원,유가,2026-06-12,KRX KIND
017860,DS단석,유가,2026-06-12,KRX KIND
017890,한국알콜,코스닥,2026-06-12,KRX KIND
017900,광전자,유가,2026-06-12,KRX KIND
017940,E1,유가,2026-06-12,KRX KIND
017960,한국카본,유가,2026-06-12,KRX KIND
018000,유니슨,코스닥,2026-06-12,KRX KIND
018120,진로발효,코스닥,2026-06-12,KRX KIND
018250,애경산업,유가,2026-06-12,KRX KIND
018260,삼성에스디에스,유가,2026-06-12,KRX KIND
018290,브이티,코스닥,2026-06-12,KRX KIND
018310,삼목에스폼,코스닥,2026-06-12,KRX KIND
018470,조일알미늄,유가,2026-06-12,KRX KIND
018500,동원금속,유가,2026-06-12,KRX KIND
018620,우진비앤지,코스닥,2026-06-12,KRX KIND
018670,SK가스,유가,2026-06-12,KRX KIND
